-5.0514,-3.8308,1.0741,0.04,-0.2035
-4.503,-3.1071,-0.0227,-0.3625,-0.4195
-4.1874,-1.7405,0.0085,0.0825,0.5437
-4.3598,-0.9541,1.1607,-0.15,0.1581
-4.0313,0.4027,1.1444,-0.15,0.1581
-3.5291,1.003,-0.0252,0.0825,0.5437
-3.1914,2.3658,-0.0715,-0.3625,-0.4195
-3.2731,3.2573,1.0359,0.04,-0.2035
-3.3562,0.2181,-1.1832,-0.1435,0.136
-2.798,0.8298,-2.4453,0.2836,-0.0516
-1.4413,1.3211,-2.2137,-0.7301,-0.7096
-0.3531,0.4421,-1.8956,0.569,-0.2783
-0.4796,-0.8035,-2.0558,-0.57,-0.1526
0.902,0.9978,-1.2748,-0.019,0.0
0.8442,0.8215,0.2534,-0.16,0.1441
2.114,1.3701,0.9084,0.1401,-0.2035
3.2925,0.7596,0.286,-0.6602,-0.3187
4.3919,0.3179,1.1017,0.69,-0.2783
4.7174,0.9936,2.1167,-0.57,0.4833
5.118,-0.886,0.7875,-0.6602,-0.3187
4.4792,-1.9939,0.0749,0.0601,-0.2035
6.5174,-1.0078,1.1963,0.0601,-0.2035
3.4285,0.8599,-1.1721,0.1401,-0.2035
2.163,0.3266,-1.856,-0.16,0.1441
-3.6836,-1.1478,-1.1537,-0.15,0.1581
-5.2063,-4.8861,0.7705,0.08,0.123
-4.3515,-3.8074,1.9356,0.08,0.123
-6.032,-3.3979,1.3654,0.08,0.123
-4.7473,-1.3812,2.0757,0.15,0.123
-4.1737,0.9783,2.0484,0.15,0.123
-2.6138,2.9038,1.8568,0.08,0.123
-2.9347,4.2649,0.7162,0.08,0.123
-4.3232,3.3298,1.3914,0.08,0.123
-3.4502,1.6773,-2.7492,0.08,0.123
-2.7892,0.1046,-3.2877,0.08,0.123
-1.2875,2.3541,-2.1879,0.37,0.2142
0.9571,2.0864,-1.5004,0.08,0.123
0.7412,-0.2569,0.508,0.08,0.123
-0.0388,1.3591,0.6633,0.08,0.123
2.1566,2.4734,0.7761,0.08,0.123
2.0825,1.152,1.9985,0.08,0.123
4.8636,-2.0419,-0.9665,0.08,0.123
4.7054,-2.9531,0.5884,0.08,0.123
3.3747,-1.8769,0.059,0.08,0.123
6.5889,-0.9933,2.3057,0.08,0.123
6.961,-1.9553,0.8241,0.08,0.123
7.1037,-0.161,0.7797,0.08,0.123
3.5809,1.9254,-1.4499,0.08,0.123
4.3108,0.2925,-1.5344,0.08,0.123
2.2245,0.5286,-2.9479,0.08,0.123
2.1116,-0.7745,-1.7105,0.08,0.123
-3.5444,-1.76,-2.0369,0.15,0.123
