1.7992,2.0529,-1.9665,-0.24,0.1441
2.026,1.0251,-0.8636,-0.16,0.1441
2.4595,-0.3244,-1.4399,0.0956,-0.0516
2.6134,-1.3055,-0.3689,0.314,-0.3239
3.7724,-1.737,0.0958,-0.418,-0.3239
3.5443,-2.6426,1.037,0.0,-0.3239
2.2391,-2.8195,1.1941,-0.3381,-0.3239
1.6675,-1.9799,0.3099,0.2505,0.4619
0.2511,-1.8505,0.1001,-0.494,-0.5188
-0.7237,-2.6672,0.7669,0.569,-0.2783
-0.3638,-3.5644,1.5747,-0.57,-0.1526
-2.1859,-2.4474,0.5255,0.131,-0.2035
-2.9193,-1.4961,1.9002,-0.3315,0.6482
-2.5008,0.1125,1.224,0.1015,0.1893
-1.3174,0.7545,1.6106,-0.15,0.1581
-0.9975,2.0092,1.0831,-0.15,0.1581
-1.8587,2.6253,0.1683,0.177,0.245
-1.4425,4.1862,-0.5115,-0.177,0.6895
-3.0523,1.9949,-0.2002,-0.15,0.1581
-3.3743,0.7415,0.3278,-0.15,0.1581
0.9835,1.7202,-2.6402,0.08,0.123
1.5094,3.0242,-1.5153,0.08,0.123
2.7277,2.1972,-2.5554,0.08,0.123
2.8087,1.4007,-0.1675,0.08,0.123
1.0839,0.8999,-0.2934,0.08,0.123
1.715,-0.6936,-2.1785,0.08,0.123
3.4312,-0.2005,-1.9682,0.08,0.123
-0.0872,-1.1617,-0.6085,0.37,0.2142
-2.6943,-3.4333,0.4753,0.08,0.123
-2.3557,-1.9395,-0.4475,0.08,0.123
-0.6471,0.2834,2.3145,0.15,0.123
-0.0782,2.4989,1.3774,0.15,0.123
-3.7347,2.4786,-0.8913,0.15,0.123
-4.2984,0.2581,0.0378,0.15,0.123
